Date,Volume,VWAP,Open,Close,High,Low,5DMA,10DMA,20DMA,50DMA,200DMA,AvgV20,RVol,Dollar_Volume,AvgDV20,TR,ATR_14,ATRs_from_5DMA,ATRs_from_10DMA,ATRs_from_20DMA,ATRs_from_50DMA,ATRs_from_200DMA,ATR_14_signal,RSI_14,RSI_14_signal,RSI_14_diff,n_high,n_low,%k,%d,%k_diff,+DI,-DI,ADX,ADX_signal,ADX_diff,ema12,ema26,eMACD1226,relative_macd_eMACD1226,eMACD1226_signal,eMACD1226_diff,relative_macd_diff,ema10,ema20,eMACD1020,eMACD1020_signal,eMACD1020_diff,relative_macd_eMACD1020,CxV,Sum CxV,Sum Volume,VWAP_5,VWAP_10,VWAP_20,ATRs_from_VWAP_5,ATRs_from_VWAP_10,ATRs_from_VWAP_20,Gap,Percent_Change,ATRs Traded_ex_gap,Relative_ATR,H-L,H-Cp,L-Cp,ATRs_Traded,u_band,l_band,relative_band_dist,VWAP 2023-02-07 00:00:00,ATRs_from_AVWAP_2023-02-07 00:00:00,VWAP 2023-01-31 00:00:00,ATRs_from_AVWAP_2023-01-31 00:00:00,VWAP 2023-01-17 00:00:00,ATRs_from_AVWAP_2023-01-17 00:00:00,VWAP 2025-01-01,hi_252,lo_252,bo_252,hi_50,lo_50,bo_50,hi_20,lo_20,bo_20,turtle50_20,hi_10,lo_10,bo_10,turtle20_10,hi_5,lo_5,bo_5,turtle10_5,sma50200,ema50200,ema2050,ema1020,ma_st,ma_mt,ma_lt,regime_crossing_ma_long_2050200,regime_crossing_ma_short_2050200,regime_crossing_ma_long_102050,regime_crossing_ma_short_102050,triple_ma2050200,Hi1,Lo1,Hi2,Lo2,Hi3,Lo3,Hi4,Lo4,rg,flr,clg,rg_ch,consolidation,acc_dist,w_acc_dist,c_over_under_20DMA,ep
2018-01-17,878162.0,20.9696,21.7,20.8,21.7,20.5,0.0,0.0,0.0,0.0,0.0,0.0,inf,18265769.6,0.0,1.1999999999999993,0.0,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,18265769.6,,,,,,,,,,,,0.0,1.1999999999999993,,,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,1749808.0,20.498,20.8,20.68,20.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,36186029.44,0.0,0.8000000000000007,0.0,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,36186029.44,,,,,,,,,0.0,-0.5769230769230818,-inf,0.0,0.8000000000000007,0.0,0.8000000000000007,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
2018-01-19,1003841.0,20.6011,20.96,20.49,20.985,20.39,0.0,0.0,0.0,0.0,0.0,0.0,inf,20568702.09,0.0,0.5949999999999989,0.0,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,20568702.09,,,,,,,,,1.3539651837524234,-0.9187620889748612,-inf,0.0,0.5949999999999989,0.3049999999999997,0.28999999999999915,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,20.985,,,,,,,,,,,,,,,,
2018-01-22,753086.0,20.2134,20.61,20.0,20.905,19.81,0.0,0.0,0.0,0.0,0.0,0.0,inf,15061720.0,0.0,1.0950000000000024,0.0,inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15061720.0,,,,,,,,,0.5856515373352904,-2.391410444119075,-inf,0.0,1.0950000000000024,0.4150000000000027,0.6799999999999997,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,317747.0,19.5677,20.0,19.41,20.0,19.34,20.276,0.0,0.0,0.0,0.0,0.0,inf,6167469.2700000005,0.0,0.6600000000000001,0.0,-inf,inf,inf,inf,inf,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6167469.2700000005,,,20.467143674919896,,,-inf,,,0.0,-2.9499999999999993,-inf,0.0,0.6600000000000001,0.0,0.6600000000000001,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,21.7,19.34,-1.0,0,,,,,,,,,,,,,,19.34,,,,,,,,,,,,,,,
2018-01-24,483459.0,19.6168,19.34,19.62,19.84,19.33,20.04,0.0,0.0,0.0,0.0,0.0,inf,9485465.58,0.0,0.5100000000000016,0.0,-inf,inf,inf,inf,inf,0.0,8.134789268244475,0.0,8.134789268244475,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9485465.58,,,20.304221060594845,,,-inf,,,-0.3606388459556944,1.0819165378670832,-inf,0.0,0.5100000000000016,0.4299999999999997,0.08000000000000185,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,20.985,19.33,-1.0,0,,,,,,,,,,,,,19.84,,,,,,,,,,,,,,,,
2018-01-25,190764.0,19.4819,19.83,19.36,19.89,19.08,19.776,0.0,0.0,0.0,0.0,0.0,inf,3693191.04,0.0,0.8100000000000023,0.0,-inf,inf,inf,inf,inf,0.0,7.3387952322792955,0.0,7.3387952322792955,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3693191.04,,,19.999493607799785,,,-inf,,,1.0703363914372952,-1.325178389398581,inf,0.0,0.8100000000000023,0.2699999999999996,0.5400000000000027,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,20.985,19.08,-1.0,0,,,,,,,,,,,,,,19.08,,19.08,,,,,,19.08,,,,,,,
2018-01-26,1004327.0,19.8652,20.0,19.95,20.5,19.5925,19.668,0.0,0.0,0.0,0.0,0.0,inf,20036323.65,0.0,1.1400000000000006,0.0,inf,inf,inf,inf,inf,0.0,25.220516299136236,0.0,25.220516299136236,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,20036323.65,,,19.802322753868776,,,inf,,,3.305785123966945,3.047520661157024,inf,0.0,0.9074999999999989,1.1400000000000006,0.2325000000000017,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,20.905,19.08,-1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,430852.0,20.3737,20.25,20.09,20.87,19.91,19.686,0.0,0.0,0.0,0.0,0.0,inf,8655816.68,0.0,0.9600000000000009,0.0,inf,inf,inf,inf,inf,0.0,28.734898486981933,7.7143332540713265,21.020565232910606,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8655816.68,,,19.792054884145966,,,inf,,,1.503759398496244,0.7017543859649151,inf,0.0,0.9600000000000009,0.9200000000000017,0.03999999999999915,inf,,,,,,,,,,,,,,,,,,,,0,,,,0,20.87,19.08,1.0,0,,,,,,,,,,,,,20.87,,,,,,,,,,,,,,,,
2018-01-30,401802.0,20.1576,20.08,20.34,20.43,20.0,19.872,20.074,0.0,0.0,0.0,0.0,inf,8172652.68,0.0,0.4299999999999997,0.0,inf,inf,inf,inf,inf,0.0,34.64184411099778,13.099835425456618,21.542008685541163,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,20.074,0.0,20.074,4.0148,16.0592,inf,8172652.68,,,19.9280702125355,20.27948745662509,,inf,inf,,-0.049776007964169054,1.2444001991040319,inf,0.0,0.4299999999999997,0.33999999999999986,0.08999999999999986,inf,,,,,,,,,,,,,,,,,,,,0,21.7,19.08,,0,20.87,19.08,1.0,0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
2018-01-31,2019218.0,20.6523,20.49,20.88,21.0,20.24,20.124000000000002,20.082,0.0,0.0,0.0,0.0,inf,42161271.839999996,0.0,0.7600000000000016,0.0,inf,inf,inf,inf,inf,0.0,45.206463005643386,19.521160941493974,25.68530206414941,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,20.220545454545455,0.0,20.220545454545455,7.255949090909092,12.964596363636364,inf,42161271.839999996,,,20.439834979959045,20.369909967846425,,inf,inf,,0.7374631268436509,2.654867256637164,inf,0.0,0.7600000000000016,0.6600000000000001,0.10000000000000142,inf,,,,,,,,,,,,,,,,,,,,0,21.0,19.08,1.0,0,21.0,19.08,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,1745909.0,21.002,20.93,21.07,21.31,20.64,20.466,20.121000000000002,0.0,0.0,0.0,0.0,inf,36786302.63,0.0,0.6699999999999982,0.0,inf,inf,inf,inf,inf,0.0,48.36881811362167,25.290692375919516,23.078125737702155,,,,,,,,,0.0,,20.224166666666665,0.0,20.224166666666665,inf,4.044833333333333,16.179333333333332,inf,20.37499173553719,0.0,20.37499173553719,9.879757619834713,10.495234115702477,inf,36786302.63,,,20.672998000038554,20.45130082666697,,inf,inf,,0.23946360153257046,0.9099616858237609,inf,0.0,0.6699999999999982,0.4299999999999997,0.23999999999999844,inf,,,,,,,,,,,,,,,,,,,,0,21.31,19.08,1.0,0,21.31,19.5925,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,2401013.0,21.3754,21.0,21.43,21.935,20.83,20.762,20.215,0.0,0.0,0.0,0.0,inf,51453708.589999996,0.0,1.1050000000000004,0.0,inf,inf,inf,inf,inf,0.0,53.80853862095764,30.99426162492714,22.8142769960305,,,,,,,,,0.0,,20.409679487179485,0.0,20.409679487179485,inf,7.317802564102563,13.09187692307692,inf,20.566811419984973,0.0,20.566811419984973,12.017168379864765,8.549643040120207,inf,51453708.589999996,,,21.036446053420065,20.688373011692338,,inf,inf,,-0.3322259136212638,1.7085904129093472,inf,0.0,1.1050000000000004,0.8649999999999984,0.240000000000002,inf,,,,,,,,,,,,,,,,,,,,0,21.935,19.08,1.0,0,21.935,19.91,1.0,1,,,,,,,,,,,,,21.935,,21.935,,,,,,,,,,,,,,
2018-02-05,812469.0,21.0641,21.3,21.02,21.4,20.76,20.948,20.317,0.0,0.0,0.0,0.0,inf,17078098.38,0.0,0.6699999999999982,0.8146428571428574,0.08838228846996826,0.8629548443665048,25.80271810609381,25.80271810609381,25.80271810609381,0.1629285714285715,47.65105733384501,34.32562076671071,13.325436567134297,21.935,19.08,67.95096322241685,,,29.23796034345233,13.433751003755837,,0.0,,20.503574950690336,0.0,20.503574950690336,25.168789943854854,9.95495704142012,10.548617909270217,12.948763764119507,20.649209343624065,0.0,20.649209343624065,13.743576572616625,6.90563277100744,25.347560790068986,17078098.38,,,21.089887015777308,20.768702953639846,,-0.08578853317687951,0.3084751117090886,,-0.6066262249183342,-1.913205786280915,0.024550635686102055,3.875560690498846,0.639999999999997,0.030000000000001137,0.6699999999999982,0.822446295484434,,,,,,,,,,,,,,,,,,,,0,21.935,19.08,1.0,0,21.935,20.0,1.0,1,,,,,,,,,,,,,,20.76,,,,,,,,,,,,,,,
2018-02-06,1013429.0,21.0361,21.3,21.16,21.6,20.5,21.112000000000002,20.492,0.0,0.0,0.0,0.0,inf,21444157.64,0.0,1.1000000000000014,0.835025510204082,0.057483273760423156,0.7999755598325836,25.34054318272079,25.34054318272079,25.34054318272079,0.2973479591836736,49.7649718250372,37.41349097837602,12.351480846661183,21.935,19.08,72.8546409807356,,,28.973452823199956,15.6153016933471,36.53115294593558,36.53115294593558,0.0,20.6045634198149,0.0,20.6045634198149,24.67536999531799,12.084878317099076,8.519685102715826,10.202903981500633,20.74208037205605,0.0,20.74208037205605,15.143277332504512,5.598803039551539,24.84005592474252,21444157.64,,,21.136478465192482,20.84756199181167,,0.028168642179290115,0.3741658241219118,,1.3320647002854478,0.6660323501427239,-0.16765954846790762,3.946245322325529,1.1000000000000014,0.5800000000000018,0.5199999999999996,1.3173250236764134,,,,,,,,,,,,,,,,,,,,0,21.935,19.08,1.0,0,21.935,20.24,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,630918.0,21.4501,21.26,21.5,21.595,21.21,21.236,20.68,0.0,0.0,0.0,0.0,inf,13564737.0,0.0,0.4349999999999987,0.806452259475219,0.32735973753956804,1.0167991847819946,26.659978625381555,26.659978625381555,26.659978625381555,0.3991688192419827,54.563618797591246,40.843516542219064,13.720102255372183,21.935,19.08,84.76357267950968,75.18972562755404,9.573847051955639,26.752842343364048,14.418499130751583,33.12314452711297,35.9115150516042,-2.788370524491228,20.74232289368953,0.0,20.74232289368953,25.720459766815132,13.816367232417168,6.925955661272361,8.588178134412164,20.879883940773134,0.0,20.879883940773134,16.290598654158238,4.589285286614896,25.89103532843997,13564737.0,,,21.249632290075713,20.941932378911023,,0.31045571139847555,0.6920032953371935,,0.47258979206049817,1.6068052930056704,0.24799980116633918,3.7509407417452048,0.384999999999998,0.4349999999999987,0.05000000000000071,0.5393995675367881,,,,,,,,,,,,,,,,,,,,0,21.935,19.08,1.0,0,21.935,20.5,1.0,1,,,,,,,,,,,,,21.595,,,,,,,,,,,,,,,,
2018-02-08,714301.0,21.2397,21.65,21.27,21.84,21.0,21.276,20.871,0.0,0.0,0.0,0.0,inf,15193182.27,0.0,0.8399999999999999,0.8088485266555605,-0.007417952561289963,0.4932938453257649,26.296641829771918,26.296641829771918,26.296641829771918,0.4811047607246983,51.013591800543985,42.87753159388405,8.136060206659934,21.935,19.08,76.70753064798602,78.1085814360771,-1.4010507880910836,26.629596040454338,15.355674631574189,31.909710837656775,35.18391428543194,-3.2742034477751645,20.823503986968063,0.0,20.823503986968063,25.744627455859273,15.217794583327347,5.6057094036407165,6.930481071430384,20.950814133359835,0.0,20.950814133359835,17.22264174999856,3.728172383361276,25.90202422694344,15193182.27,,,21.308527238237442,20.989910127205093,,-0.047632204260475625,0.34628223154838,,0.6976744186046445,-1.069767441860467,0.012363254268813675,3.8027669330303735,0.8399999999999999,0.33999999999999986,0.5,1.0385133585805553,,,,,,,,,,,,,,,,,,,,0,21.935,19.5925,1.0,0,21.935,20.5,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,985221.0,21.2953,21.51,21.12,21.9,20.93,21.214,20.988,0.0,0.0,0.0,0.0,inf,20807867.52,0.0,0.9699999999999989,0.8203593461801633,-0.11458393256283306,0.1609050967903671,25.744815486458457,25.744815486458457,25.744815486458457,0.5489556778157914,48.784350289679175,44.058895333043075,4.725454956636099,21.935,19.08,71.45359019264457,77.64156450671344,-6.187974314068867,25.00243624493315,14.864252403141833,30.473200730282382,34.327420911768385,-3.854220181486003,20.869118758203747,0.0,20.869118758203747,25.438996770593963,16.34805941830263,4.521059339901118,5.511071899104353,20.98157520002168,0.0,20.98157520002168,17.974428440003184,3.0071467600184967,25.57607869980165,20807867.52,,,21.193666831234612,21.09502561063374,,-0.08979824704579255,0.030443231350442426,,1.128349788434424,-0.7052186177715025,-0.6460583431734337,3.884277207292439,0.9699999999999989,0.629999999999999,0.33999999999999986,1.1824086658079864,,,,,,,,,,,,,,,,,,,,0,21.935,19.91,1.0,0,21.9,20.5,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,473323.0,21.0743,21.36,21.0,21.68,20.671,21.21,21.079,0.0,0.0,0.0,0.0,inf,9939783.0,0.0,1.0090000000000003,0.8338336785958659,-0.2518487863834312,-0.09474311487757686,25.18487863834302,25.18487863834302,25.18487863834302,0.6059312779718063,47.014338264703966,44.64998391937525,2.3643543453287137,21.935,19.08,67.25043782837133,71.80385288966731,-4.553415061295979,21.88716166891862,16.09424954655479,29.142154109768633,33.38464512958661,-4.242491019817976,20.88925433386471,0.0,20.88925433386471,25.052063583041125,17.256298401415044,3.632955932449665,4.356931155104434,20.984925163654104,0.0,20.984925163654104,18.57652778473337,2.4083973789207356,25.166799689587577,9939783.0,,,21.20661665171676,21.129679409959433,,-0.24779120467368623,-0.15552191436763094,,1.136363636363629,-0.5681818181818229,-0.6116327669311894,3.9706365647422186,1.0090000000000003,0.5599999999999987,0.4490000000000016,1.2100734545756244,,,,,,,,,,,,,,,,,,,,0,21.935,20.0,1.0,0,21.9,20.5,1.0,1,,,,,,,,,,,,,,20.671,,20.671,,,,,,,,,,,,,
2018-02-13,547603.0,21.1343,21.06,21.41,21.6,20.97,21.259999999999998,21.186,20.630000000000003,0.0,0.0,927862.6,0.590176821438864,11724180.23,19322321.4565,0.6300000000000026,0.8192741301247328,0.18308890087517463,0.27341275864025716,0.9520622845508916,26.132889118249555,26.132889118249555,0.6485998484023917,53.25484162015962,46.37095545953213,6.88388616062749,21.935,19.08,81.61120840630478,73.43841214244023,8.172796263864555,19.611246469422944,14.420704674836838,26.378102745964,32.110728332564314,-5.732625586600314,20.969369051731675,0.0,20.969369051731675,25.595058211516005,17.99891253147837,2.970456520253304,3.6257174626044373,21.062211497535177,20.630000000000003,0.4322114975351745,14.94766452729373,-14.515453029758556,0.5275541868621815,11724180.23,,,21.253945412109573,21.17118363235586,20.824550376855367,0.19047908648924158,0.2914975084197783,0.7145955201288973,0.28571428571427965,1.952380952380953,0.06102963362505821,3.8265956568179953,0.6300000000000026,0.6000000000000014,0.030000000000001137,0.7689733836757257,21.997933516390024,19.26206648360998,3.339379253148775,,,,,,,,,,,,,,21.935,19.08,,0,21.935,20.24,1.0,0,21.9,20.671,1.0,1,,,,1.0,20.630000000000003,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,1662766.0,21.8952,21.27,22.04,22.34,21.25,21.368000000000002,21.302,20.692,0.0,0.0,967092.8,1.719344823992072,36647362.64,20241401.108499996,1.0899999999999999,0.8386116922586805,0.8013243867254716,0.8800258889931551,1.607418561467172,26.281531969389093,26.281531969389093,0.6866022171736496,60.879303727064425,49.272625113038586,11.606678614025839,22.34,19.5925,89.08098271155593,79.31420964874401,9.766773062811922,25.484861770742278,12.7775917932879,24.64094184371106,30.752585334590993,-6.111643490879931,21.134081505311418,0.0,21.134081505311418,25.201272174478984,18.625946326244982,2.5081351790664357,2.990818280044645,21.239991225256052,20.76428571428572,0.4757055109703323,12.053272724029052,-11.57756721305872,0.5672536113693903,36647362.64,,,21.516717107583613,21.35618503657793,20.930153867860454,0.6239871173355557,0.8154131044611499,1.3234326952326805,-0.6539000467071489,2.9425502101821532,1.1685980639746516,3.8049532316637045,1.0899999999999999,0.9299999999999997,0.16000000000000014,1.2997672344207853,22.19782867551392,19.18617132448608,3.591241785475677,,,,,,,,,,,,,,22.34,19.08,1.0,0,22.34,20.5,1.0,1,22.34,20.671,1.0,1,,,,1.0,20.692,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,518094.0,21.9339,22.21,21.95,22.34,21.65,21.504,21.39,20.755499999999998,0.0,0.0,905507.1,0.5721589593278728,11372163.299999999,19000707.8015,0.6900000000000013,0.8279965713830606,0.5386495734577897,0.6763313029963295,1.4426388239805685,26.509771608516903,26.509771608516903,0.7148810880155317,59.38903199155388,51.29590648874164,8.093125502812235,22.34,19.91,83.95061728395059,84.88093613393711,-0.93031884998652,24.096153425985843,12.081321650296521,26.00957787055358,29.89022034112964,-3.88064247057606,21.2596074275712,0.0,21.2596074275712,25.675960701213764,19.152678546510227,2.1069288810609734,2.5446106347295894,21.36908372975495,20.877210884353744,0.49187284540120757,9.740992748303483,-9.249119902902276,0.5940517900691279,11372163.299999999,,,21.612420683796323,21.438908027420865,20.983499523637086,0.4077061764154338,0.6172633924382337,1.1672759402233999,0.7713248638838553,-0.4083484573502716,0.8212594393526873,3.772193947075447,0.6900000000000013,0.3000000000000007,0.39000000000000057,0.8333367840490523,22.362883948499782,19.148116051500214,3.8825860010865942,,,,,,,,,,,,,,22.34,19.08,1.0,0,22.34,20.5,1.0,1,22.34,20.671,1.0,1,,,,1.0,20.755499999999998,,,,,,,,,,,,,,,,,,,,,,,,
